time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/10 00:33:12,BNB,Open Long,996.02,0.288,286.85375999999997,0.12392,-0.12392
2025/11/10 00:50:59,ETH,Close Short,3525.1,0.3141,1107.23391,0.478325,-3.713555
2025/11/10 00:53:56,BNB,Close Long,1002.3,0.288,288.6624,0.124702,1.683938
2025/11/10 01:02:57,ETH,Open Long,3530.5,0.5054,1784.3147,0.770823,-0.770823
2025/11/10 01:20:55,ETH,Close Long,3510.5,0.5054,1774.2067,0.766457,-10.874457000000001
2025/11/10 01:23:59,BNB,Open Short,994.29,0.402,399.70458,0.172672,-0.172672
2025/11/10 01:53:59,BNB,Close Short,993.31,0.402,399.31062000000003,0.172502,0.221458
2025/11/10 01:57:06,SOL,Open Long,161.73,3.2,517.536,0.223575,-0.223575
2025/11/10 02:41:58,SOL,Close Long,162.25,3.2,519.2,0.224294,1.439706
2025/11/10 02:50:58,SOL,Open Short,163.4521176471,1.7,277.86860000007,0.120038,-0.120038
2025/11/10 03:30:17,SOL,Close Short,165.55,1.7,281.435,0.121579,-3.688009
2025/11/10 03:32:55,ETH,Open Long,3560.6,0.4812,1713.3607200000001,0.740171,-0.740171
2025/11/10 03:50:56,ETH,Close Long,3572.8,0.4812,1719.2313600000002,0.742707,5.127933
2025/11/10 03:54:03,ETH,Open Short,3577,0.4854,1736.2758,0.750071,-0.750071
2025/11/10 04:32:56,ETH,Close Short,3583.2,0.4854,1739.2852799999998,0.751371,-3.7608509999999997
2025/11/10 04:45:00,HYPE,Open Long,42.078,6.51,273.92778,0.118336,-0.118336
2025/11/10 04:47:56,HYPE,Close Long,42.075,6.51,273.90825,0.118328,-0.137858
2025/11/10 04:50:59,BNB,Open Short,999.38,0.514,513.68132,0.22191,-0.22191
2025/11/10 05:24:02,ETH,Open Long,3587.7,0.3341,1198.65057,0.517815,-0.517815
2025/11/10 06:02:56,ETH,Close Long,3578.3,0.3341,1195.5100300000001,0.51646,-3.657
2025/11/10 06:29:58,ETH,Open Short,3568.5,0.33,1177.605,0.508725,-0.508725
2025/11/10 06:35:54,BNB,Close Short,991.16,0.514,509.45624,0.220085,4.004995
2025/11/10 07:08:56,ETH,Close Short,3597.2,0.33,1187.076,0.512816,-9.983816000000001
2025/11/10 07:12:02,ETH,Open Short,3579.8,0.463,1657.4474000000002,0.716017,-0.716017
2025/11/10 07:56:55,ETH,Close Short,3581.1,0.463,1658.0493000000001,0.716277,-1.318177
2025/11/10 07:59:59,ETH,Open Long,3582.4,0.4601,1648.26224,0.712048,-0.712048
2025/11/10 08:02:55,ETH,Close Long,3565.7,0.4601,1640.57857,0.708729,-8.392399000000001
2025/11/10 08:06:01,ETH,Open Long,3557.6,0.4504,1602.34304,0.692212,-0.692212
2025/11/10 08:36:53,ETH,Close Long,3621.2,0.4504,1630.98848,0.704587,27.940853
2025/11/10 08:38:57,DOGE,Open Short,0.18147,1532,278.01204,0.1201,-0.1201
2025/11/10 09:18:03,ETH,Open Long,3648,0.3998,1458.4704,0.630059,-0.630059
2025/11/10 09:20:59,DOGE,Close Short,0.18168,1532,278.33376000000004,0.12024,-0.44196
2025/11/10 09:53:54,ETH,Close Long,3637.5,0.3998,1454.2725,0.628245,-4.8261449999999995
2025/11/10 09:56:59,ETH,Open Short,3630,0.4708,1709.004,0.738289,-0.738289
2025/11/10 10:24:04,ETH,Close Short,3630.3,0.4708,1709.14524,0.73835,-0.87959
2025/11/10 10:29:58,ETH,Open Short,3624.2,0.0751,272.17742,0.11758,-0.11758
2025/11/10 10:44:58,SOL,Open Short,166.56,1.63,271.4928,0.117284,-0.117284
2025/11/10 11:03:45,SOL,Close Short,168.51,1.63,274.6713,0.118658,-3.297158
2025/11/10 11:09:02,ETH,Close Short,3631.8,0.0751,272.74818,0.117827,-0.6885870000000001
2025/11/10 11:09:05,BNB,Open Long,1015.5638513514,0.296,300.6069000000144,0.129861,-0.129861
2025/11/10 11:39:00,XRP,Open Short,2.4607,109,268.2163,0.115869,-0.115869
2025/11/10 11:42:01,XRP,Close Short,2.4687,109,269.0883,0.116246,-0.988246
2025/11/10 11:53:58,BNB,Close Long,1012.7,0.296,299.7592,0.129495,-0.976943
2025/11/10 11:57:03,HYPE,Open Long,42.8,11.7,500.75999999999993,0.216328,-0.216328
2025/11/10 12:09:02,ETH,Open Long,3628.2912286159,0.3215,1166.495630000012,0.503925,-0.503925
2025/11/10 12:23:54,ETH,Close Long,3615.1,0.3215,1162.25465,0.502092,-4.7426770000000005
2025/11/10 12:30:03,ETH,Open Short,3609.7,0.3162,1141.3871399999998,0.493079,-0.493079
2025/11/10 12:35:58,HYPE,Close Long,42.67,11.7,499.239,0.215671,-1.7366709999999999
2025/11/10 14:45:52,ETH,Close Short,3608.6,0.3162,1141.0393199999999,0.492928,-0.14510799999999996
2025/11/10 14:48:03,XRP,Open Short,2.4653,106,261.3218,0.112891,-0.112891
2025/11/10 14:56:59,XRP,Close Short,2.4733,106,262.1698,0.113257,-0.961257
2025/11/10 15:03:07,HYPE,Open Short,42.658,11.41,486.72778,0.210266,-0.210266
