time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/15 13:22:21,BNB,Open Long,929.8,0.368,342.16639999999995,0.147815,-0.147815
2025/11/15 13:25:21,BNB,Close Long,929.41,0.368,342.02288,0.147753,-0.291273
2025/11/15 13:31:24,XRP,Open Short,2.2808,150,342.12,0.147795,-0.147795
2025/11/15 15:04:16,BTC,Close Short,96063,0.00673,646.50399,0.279289,0.730211
2025/11/15 15:10:22,BTC,Open Short,96162,0.00132,126.93384,0.054835,-0.054835
2025/11/15 15:52:23,ETH,Open Long,3175.4,0.1412,448.36647999999997,0.193694,-0.193694
2025/11/15 16:04:16,ETH,Close Long,3167,0.1412,447.18039999999996,0.193181,-1.379261
2025/11/15 16:10:20,ETH,Open Long,3168.3504978663,0.1406,445.47008000000176,0.192441,-0.192441
2025/11/15 16:19:16,ETH,Close Long,3166.6415362731,0.1406,445.22979999999785,0.192338,-0.43254800000000004
2025/11/15 16:25:28,BNB,Open Long,936.34,0.221,206.93114,0.089394,-0.089394
2025/11/15 16:46:16,BNB,Close Long,932.47,0.221,206.07587,0.089024,-0.944294
2025/11/15 16:49:22,SOL,Open Short,140.68,1.98,278.5464,0.120332,-0.120332
2025/11/15 17:16:16,SOL,Close Short,141.21,1.98,279.5958,0.120785,-1.170185
2025/11/15 17:31:25,BNB,Open Long,936.49,0.259,242.55091000000002,0.104781,-0.104781
2025/11/15 17:49:18,XRP,Close Short,2.2593,150,338.89500000000004,0.146402,3.078598
2025/11/15 17:52:22,BNB,Close Long,933.27,0.259,241.71693,0.104421,-0.938401
2025/11/15 17:52:25,DOGE,Open Long,0.16139,2187,352.95993,0.152477,-0.152477
2025/11/15 17:55:15,DOGE,Close Long,0.16149,2187,353.17863,0.152573,0.06612700000000002
2025/11/15 18:40:18,BNB,Open Long,932.27,0.413,385.02750999999995,0.166331,-0.166331
2025/11/15 18:49:18,BTC,Close Short,96013,0.00132,126.73716,0.05475,0.14193
2025/11/15 18:52:15,BNB,Close Long,935.15,0.413,386.21695,0.166845,1.0225950000000001
2025/11/15 18:55:17,XRP,Open Short,2.2662,91,206.2242,0.089088,-0.089088
2025/11/15 18:58:26,BTC,Open Short,95991,0.00863,828.40233,0.357869,-0.357869
2025/11/15 21:19:22,XRP,Close Short,2.2739,91,206.92489999999998,0.089391,-0.790091
2025/11/15 21:28:25,ETH,Open Short,3179,0.0737,234.2923,0.101214,-0.101214
2025/11/16 00:25:23,BTC,Close Short,95797,0.00863,826.72811,0.357146,1.317074
2025/11/16 00:28:22,BTC,Open Short,95808,0.00495,474.24960000000004,0.204875,-0.204875
2025/11/16 01:16:17,ETH,Close Short,3192.1,0.0737,235.25777,0.101631,-1.067101
2025/11/16 01:28:20,XRP,Open Long,2.2578,90,203.202,0.087783,-0.087783
2025/11/16 01:49:18,BTC,Close Short,96266,0.00495,476.5167,0.205855,-2.4729550000000002
2025/11/16 01:49:21,XRP,Close Long,2.264,90,203.76,0.088024,0.46997600000000006
2025/11/16 02:13:20,ETH,Open Short,3227.6,0.2076,670.04976,0.289461,-0.289461
2025/11/16 02:22:21,BTC,Open Short,96011,0.00152,145.93672,0.063044,-0.063044
2025/11/16 02:28:22,ETH,Close Short,3213.8,0.2076,667.18488,0.288223,2.576657
2025/11/16 02:34:21,ETH,Open Short,3210.5,0.1865,598.75825,0.258662,-0.258662
2025/11/16 02:58:15,ETH,Close Short,3205.9,0.1865,597.90035,0.258292,0.5996079999999999
2025/11/16 03:01:17,ETH,Open Long,3206.8,0.064,205.23520000000002,0.088661,-0.088661
2025/11/16 03:04:25,ETH,Close Long,3212.3,0.064,205.58720000000002,0.088813,0.26318699999999995
2025/11/16 03:04:28,BNB,Open Long,942.44,0.407,383.57308,0.165703,-0.165703
2025/11/16 03:10:17,BNB,Close Long,943.11,0.407,383.84576999999996,0.16582,0.10686999999999999
2025/11/16 03:10:20,BTC,Close Short,96110,0.00152,146.0872,0.063109,-0.213589
2025/11/16 03:28:19,ETH,Open Short,3201.2,0.3523,1127.78276,0.487202,-0.487202
2025/11/16 03:49:21,BTC,Open Short,95984,0.00148,142.05632,0.061368,-0.061368
2025/11/16 04:58:17,BTC,Close Short,95179,0.00148,140.86492,0.060853,1.130547
2025/11/16 04:58:19,ETH,Close Short,3172.6,0.3523,1117.70698,0.482849,9.592931
2025/11/16 05:01:19,BTC,Open Short,95265,0.0126,1200.339,0.518546,-0.518546
2025/11/16 07:19:24,BTC,Close Short,95605,0.0126,1204.623,0.520397,-4.804397
2025/11/16 07:28:18,HYPE,Open Short,38.522,5.43,209.17445999999998,0.090363,-0.090363
2025/11/16 07:31:19,BTC,Open Short,95625,0.00523,500.11875000000003,0.216051,-0.216051
2025/11/16 07:37:17,HYPE,Close Short,38.528,5.43,209.20703999999998,0.090377,-0.122957
2025/11/16 07:49:21,DOGE,Open Long,0.16323,74,12.07902,0.005218,-0.005218
